ID,Class,Sex,Age,Survived
1,1st,Male,Child,Yes
2,1st,Male,Child,Yes
3,1st,Male,Child,Yes
4,1st,Male,Child,Yes
5,1st,Male,Child,Yes
6,1st,Male,Adult,No
7,1st,Male,Adult,No
8,1st,Male,Adult,No
9,1st,Male,Adult,No
10,1st,Male,Adult,No
11,1st,Male,Adult,No
12,1st,Male,Adult,No
13,1st,Male,Adult,No
14,1st,Male,Adult,No
15,1st,Male,Adult,No
16,1st,Male,Adult,No
17,1st,Male,Adult,No
18,1st,Male,Adult,No
19,1st,Male,Adult,No
20,1st,Male,Adult,No
21,1st,Male,Adult,No
22,1st,Male,Adult,No
23,1st,Male,Adult,No
24,1st,Male,Adult,No
25,1st,Male,Adult,No
26,1st,Male,Adult,No
27,1st,Male,Adult,No
28,1st,Male,Adult,No
29,1st,Male,Adult,No
30,1st,Male,Adult,No
31,1st,Male,Adult,No
32,1st,Male,Adult,No
33,1st,Male,Adult,No
34,1st,Male,Adult,No
35,1st,Male,Adult,No
36,1st,Male,Adult,No
37,1st,Male,Adult,No
38,1st,Male,Adult,No
39,1st,Male,Adult,No
40,1st,Male,Adult,No
41,1st,Male,Adult,No
42,1st,Male,Adult,No
43,1st,Male,Adult,No
44,1st,Male,Adult,No
45,1st,Male,Adult,No
46,1st,Male,Adult,No
47,1st,Male,Adult,No
48,1st,Male,Adult,No
49,1st,Male,Adult,No
50,1st,Male,Adult,No
51,1st,Male,Adult,No
52,1st,Male,Adult,No
53,1st,Male,Adult,No
54,1st,Male,Adult,No
55,1st,Male,Adult,No
56,1st,Male,Adult,No
57,1st,Male,Adult,No
58,1st,Male,Adult,No
59,1st,Male,Adult,No
60,1st,Male,Adult,No
61,1st,Male,Adult,No
62,1st,Male,Adult,No
63,1st,Male,Adult,No
64,1st,Male,Adult,No
65,1st,Male,Adult,No
66,1st,Male,Adult,No
67,1st,Male,Adult,No
68,1st,Male,Adult,No
69,1st,Male,Adult,No
70,1st,Male,Adult,No
71,1st,Male,Adult,No
72,1st,Male,Adult,No
73,1st,Male,Adult,No
74,1st,Male,Adult,No
75,1st,Male,Adult,No
76,1st,Male,Adult,No
77,1st,Male,Adult,No
78,1st,Male,Adult,No
79,1st,Male,Adult,No
80,1st,Male,Adult,No
81,1st,Male,Adult,No
82,1st,Male,Adult,No
83,1st,Male,Adult,No
84,1st,Male,Adult,No
85,1st,Male,Adult,No
86,1st,Male,Adult,No
87,1st,Male,Adult,No
88,1st,Male,Adult,No
89,1st,Male,Adult,No
90,1st,Male,Adult,No
91,1st,Male,Adult,No
92,1st,Male,Adult,No
93,1st,Male,Adult,No
94,1st,Male,Adult,No
95,1st,Male,Adult,No
96,1st,Male,Adult,No
97,1st,Male,Adult,No
98,1st,Male,Adult,No
99,1st,Male,Adult,No
100,1st,Male,Adult,No
101,1st,Male,Adult,No
102,1st,Male,Adult,No
103,1st,Male,Adult,No
104,1st,Male,Adult,No
105,1st,Male,Adult,No
106,1st,Male,Adult,No
107,1st,Male,Adult,No
108,1st,Male,Adult,No
109,1st,Male,Adult,No
110,1st,Male,Adult,No
111,1st,Male,Adult,No
112,1st,Male,Adult,No
113,1st,Male,Adult,No
114,1st,Male,Adult,No
115,1st,Male,Adult,No
116,1st,Male,Adult,No
117,1st,Male,Adult,No
118,1st,Male,Adult,No
119,1st,Male,Adult,No
120,1st,Male,Adult,No
121,1st,Male,Adult,No
122,1st,Male,Adult,No
123,1st,Male,Adult,No
124,1st,Male,Adult,Yes
125,1st,Male,Adult,Yes
126,1st,Male,Adult,Yes
127,1st,Male,Adult,Yes
128,1st,Male,Adult,Yes
129,1st,Male,Adult,Yes
130,1st,Male,Adult,Yes
131,1st,Male,Adult,Yes
132,1st,Male,Adult,Yes
133,1st,Male,Adult,Yes
134,1st,Male,Adult,Yes
135,1st,Male,Adult,Yes
136,1st,Male,Adult,Yes
137,1st,Male,Adult,Yes
138,1st,Male,Adult,Yes
